index,canonical_smiles
A01_E09_RT_BC_100_Lig_BC_245-0-0,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
A01_E09_RT_BC_100_Lig_BC_306-0-0,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1
A01_E09_RT_BC_101_Lig_BC_109-0-0,CS(C)=O
A01_E09_RT_BC_101_Lig_BC_229-0-0,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
A01_E09_RT_BC_101_Lig_BC_280-0-0,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
A01_E09_RT_BC_101_Lig_BC_86-0-0,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
A01_E09_RT_BC_102_Lig_BC_215-0-0,O=C(CCCc1ccccc1)[O][Na]
A01_E09_RT_BC_102_Lig_BC_262-0-0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
A01_E09_RT_BC_102_Lig_BC_265-0-0,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
A01_E09_RT_BC_102_Lig_BC_332-0-0,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
A01_E09_RT_BC_102_Lig_BC_35-0-0,CS(=O)(=O)O.O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1
A01_E09_RT_BC_103_Lig_BC_162-0-0,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
A01_E09_RT_BC_103_Lig_BC_167-0-0,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1
A01_E09_RT_BC_103_Lig_BC_236-0-0,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1
A01_E09_RT_BC_103_Lig_BC_311-0-0,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1
A01_E09_RT_BC_104_Lig_BC_375-0-0,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1
A01_E09_RT_BC_104_Lig_BC_382-0-0,CN(C)Cc1ccc(S(=O)(=O)n2ccc(/C=C/C(=O)NO)c2)cc1
A01_E09_RT_BC_104_Lig_BC_96-0-0,COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1
